molecule_chembl_id,Smiles,pIC50,bioactivity_class
CHEMBL405700,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN3CCNCC3)C(C)C)nnc12,9.222,1
CHEMBL1093285,COCCCc1ccc(Cl)c(CN(C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,9.585,1
CHEMBL496224,CCOCCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,6.721,1
CHEMBL2322211,OC(CC1c2ccccc2Sc2ccccc21)CN1CCCC1,7.0,1
CHEMBL4130109,COCCCCc1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)ncn1-c1ccccc1,8.959,1
CHEMBL400431,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(C)O2,7.046,1
CHEMBL398997,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C[C@@H](C)O2,6.488,1
CHEMBL391463,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)[C@](C)(c1ccccc1)O2,9.097,1
CHEMBL239528,CCCC1Oc2ccc(-c3c(N)nc(N)nc3CC)cc2N(CCCOC)C1=O,6.367,1
CHEMBL239078,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)ccc1F)O2,8.155,1
CHEMBL239074,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1ccc(Cl)cc1)O2,7.398,1
CHEMBL1790067,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)C(C(=O)Cc1ccccc1)C(O)C(=O)O)C(C)C)C(=O)N(C)c1ccccn1,8.921,1
CHEMBL74765,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,9.027,1
CHEMBL3916240,CC(C)CN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)[C@H]1CCCNC1.Cl.Cl,9.237,1
CHEMBL4108760,COCCOCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccccc21,7.796,1
CHEMBL3903139,COCCCCn1cc([C@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2cccnc21,8.194,1
CHEMBL3958809,COCCCNc1nc(C(C)(C)C)ncc1C(=O)N(CC(C)C)[C@@H]1CNC[C@H](C(=O)N2CCOCC2)C1,8.824,1
CHEMBL3143478,CC(C)CCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C,9.553,1
CHEMBL496416,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCO)c2cccc(Cl)c2)C1,7.678,1
CHEMBL496417,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2)C1,8.155,1
CHEMBL519687,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(F)c2F)C1,9.854,1
CHEMBL495809,CCOCCCC[C@@](O)(c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,6.31,1
CHEMBL300036,CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CCS(=O)(=O)C(C)C,7.638,1
CHEMBL291240,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC1CS(=O)(=O)c2ccccc21)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)NCCCC(=O)O,7.26,1
