molecule_chembl_id,Smiles,pIC50,bioactivity_class
CHEMBL75510,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N(C)CCO,9.26,1
CHEMBL1783185,CCCCNC(=O)C(C)CC(O)C(N)CC(C)(C)CC(=O)N1CC(C(=O)OC)Cc2ccccc21,9.097,1
CHEMBL2017113,COC[C@H](C)COCc1ccc([C@@]2(O)CCNC[C@@H]2c2noc(-c3ccccc3CCNC(C)=O)c2Br)cc1,9.585,1
CHEMBL413256,COc1ccc(COC2CNCCC2c2ccc(Cl)cc2)cc1,4.301,0
CHEMBL4125900,CC(C)CN(C(=O)c1nc2ccccc2[nH]1)[C@@H]1CNC[C@H](C(=O)N2CCOCC2)C1,9.229,1
CHEMBL2387559,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)Nc1ncc(F)cc1F.O=C(O)/C=C/C(=O)O,8.77,1
CHEMBL230260,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)CCC2,6.291,1
CHEMBL314620,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)COCC(=O)N[C@@H](Cc2ccccc2)C1=O,5.638,0
CHEMBL1910287,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2cccc(OC)c2)C2CC2)cc(OCCOC)c1,6.331,1
CHEMBL449638,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(C)c2C)C2CC2)C1,9.699,1
CHEMBL500811,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CNC[C@@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,7.056,1
CHEMBL509903,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@@H]2CNC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,7.444,1
CHEMBL506268,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)c(C)c4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,7.398,1
CHEMBL502925,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4cccc(Cl)c4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,5.807,0
CHEMBL496232,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(F)c2)C1,7.328,1
CHEMBL74765,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,8.602,1
CHEMBL313217,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,4.509,0
CHEMBL312927,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)C(c2ccccc2)CCC(=O)N[C@@H](Cc2ccccc2)C1=O,5.824,0
CHEMBL497200,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(C#N)c2)C1,7.066,1
CHEMBL497622,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCCOC)c2cccc(Cl)c2F)C1,6.433,1
CHEMBL537433,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOC)c1)C(C)C.Cl,7.42,1
CHEMBL536085,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCC(=O)NC)c1)C(C)C.Cl,7.022,1
CHEMBL540886,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCc2ccccc2)c1)C(C)C.Cl,7.886,1
CHEMBL1270375,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccccc1,8.301,1
CHEMBL1270468,Cc1cccc(F)c1Oc1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccccc1,7.796,1
CHEMBL1235802,O=C(c1c(Cc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CCNCC1,7.041,1
CHEMBL1818043,COCCCC[C@@](O)(c1ccccc1Oc1ccccc1)[C@@H]1CCCN(C(=O)[C@@H]2CC[C@H](N)C2)C1,6.71,1
CHEMBL393109,CCOCCCN1C(=O)C(C)(c2cc(F)cc(F)c2)Oc2ccc(-c3c(N)nc(N)nc3CC)cc21,7.387,1
CHEMBL553558,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCCOC)c1)C(C)C.Cl,7.658,1
CHEMBL535185,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCc2nnn[nH]2)C(C)C)ccc1OC.Cl,8.398,1
CHEMBL3401538,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(C)C)ccc1OC,6.409,1
CHEMBL4211388,CCc1cccc(-c2c(Cl)cccc2C(O)(CCCNC(=O)OC)[C@@H]2CCCN(C(=O)CCCNC)C2)c1,7.796,1
CHEMBL536749,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCC(C)(C)N2CCOCC2)C(C)C)ccc1OC.Cl,8.699,1
CHEMBL535633,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCS(C)(=O)=O)c1)C(C)C.Cl,6.658,1
CHEMBL539856,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC(C)CN2CCOCC2)C(C)C)C(C)C)ccc1OC.Cl,8.523,1
CHEMBL536306,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCCC(=O)N(C)C)C(C)C)C(C)C)ccc1OC.Cl,9.0,1
CHEMBL538094,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCC(OC)CC2)C(C)C)ccc1OC.Cl,7.824,1
CHEMBL537656,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOCCOC)c1)C(C)C.Cl,7.046,1
CHEMBL537876,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC[C@@H](C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,9.046,1
CHEMBL230153,CCc1nc(N)nc(N)c1-c1ccc(NCc2cc(F)cc(F)c2)cc1,5.18,0
CHEMBL537656,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCOCCOC)c1)C(C)C.Cl,7.721,1
CHEMBL296051,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)C1[C@@H](c2ccccc2)[C@H]1c1ccccc1,6.092,1
CHEMBL52395,CCCCNC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(OC(=O)C(C)(C)C)c1ccccc1)C(C)C,7.699,1
CHEMBL294999,CC(C)S(=O)(=O)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,6.469,1
CHEMBL541392,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCC(N)=O)c1)C(C)C.Cl,7.036,1
CHEMBL536519,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCN)C(C)C)ccc1OC.Cl,7.796,1
CHEMBL297429,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)C(Cc1ccccc1)Cc1ccccc1,7.268,1
CHEMBL540886,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCc2ccccc2)c1)C(C)C.Cl,9.222,1
CHEMBL1923106,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@]23OCc2ccccc23)C2CC2)cc(OCCOC)c1,6.824,1
CHEMBL1923113,O=C([C@H]1CNCC[C@@]12OCc1cc(F)c(F)cc12)N(Cc1cccc(Cl)c1Cl)C1CC1,9.699,1
CHEMBL540892,CCCCNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C.Cl,8.398,1
CHEMBL329818,CCOC(=O)CCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,9.161,1
CHEMBL159479,CC(C)CC(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(=O)N1CCOCC1)Cc1cccc2ccccc12)C(O)C(=O)NC(C)C,6.886,1
CHEMBL2017105,CC(=O)NCCc1ccccc1-c1cc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)no1,6.78,1
CHEMBL297928,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H]1[C@@H](Cc2ccccc2)[C@H]1C(=O)N1CCOCC1,6.0,1
CHEMBL2017100,O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1onc(-c2cccc3ccccc23)c1Br,8.328,1
CHEMBL1258282,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4cnc5cnccn45)cc3C)cc2)c(Cl)c1,6.381,1
CHEMBL1258394,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(-c4ccnc(N)c4)cc3C)cc2)c(Cl)c1,8.77,1
CHEMBL1257581,COCCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,7.706,1
CHEMBL1257701,COCCCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,6.936,1
CHEMBL3321915,COc1ccc(CC(=O)NC(=N)NCc2ccc(C)cc2)cc1OC,4.523,0
CHEMBL265485,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)OC(=O)N1CCOCC1,8.523,1
CHEMBL2419049,CC[C@@H](NC(=O)[C@@H]1CNC[C@H](N2CC(=O)N(c3ccccc3Cl)CC2(C)C)C1)c1ccc(F)cc1.O=C(O)/C=C/C(=O)O,8.62,1
CHEMBL557016,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCCOC(C)=O)C(C)C)ccc1OC.Cl,7.444,1
CHEMBL49287,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H]1[C@H](CC(C)C)[C@H]1C(=O)N1CCOCC1,6.0,1
CHEMBL3907708,COC(=O)[C@H]1CNC[C@@H](N(CC(C)C)C(=O)c2cnc(C(C)(C)C)nc2NCc2ccco2)C1,10.409,1
CHEMBL3907708,COC(=O)[C@H]1CNC[C@@H](N(CC(C)C)C(=O)c2cnc(C(C)(C)C)nc2NCc2ccco2)C1,8.854,1
CHEMBL2387575,CC[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2cc(F)ccc2C)CC1(C)C)C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2.O=C(O)/C=C/C(=O)O,8.796,1
CHEMBL3318932,CC(C)(C)OC(=O)N[C@@H]1CNC[C@H](C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,6.699,1
CHEMBL3318935,COCCCn1cc(CN(C(=O)[C@H]2CNC[C@@H](C(=O)NCCC(C)C)C2)C2CC2)c2ccccc21,8.523,1
CHEMBL398811,CCNC(=O)CN1C(=O)C(C)(c2cc(F)cc(F)c2)Oc2ccc(-c3c(N)nc(N)nc3CC)cc21,6.699,1
CHEMBL238678,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCO)C(=O)C(C)(c1cc(F)cc(F)c1)O2,5.967,0
CHEMBL398584,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,9.0,1
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,9.276,1
CHEMBL576258,NC1=N[C@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN12,4.682,0
CHEMBL3318933,COCCCn1cc(CN(C(=O)[C@H]2CNC[C@@H](NC(=O)CC(C)C)C2)C2CC2)c2ccccc21,6.523,1
CHEMBL606026,CCCC(=O)NCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,7.244,1
CHEMBL589399,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(C)=O)c2cccc(Cl)c2)C1,8.886,1
CHEMBL1270181,COc1ccc2c(C(=O)N3CCNCC3)c(Cc3cccc(F)c3C)n(-c3ccccc3)c2c1,7.921,1
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,9.222,1
CHEMBL4075327,CCc1nc(N)cc(C)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(C)O2,6.573,1
CHEMBL348587,CC(C)CC(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(=O)N1CCOCC1)Cc1cccc2ccccc12)C(O)C(=O)OC(C)C,7.602,1
CHEMBL1910294,COCCCc1cc(CN(C(=O)C2CNCCC2(O)c2ccc(F)c(F)c2)C2CC2)cc(OCCOC)c1,7.377,1
CHEMBL1910312,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cnoc2)c2cccc(F)c12)C1CC1,9.42,1
CHEMBL535855,CNC(=O)C(C)(C)CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C.Cl,9.155,1
CHEMBL1761536,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC[C@](C)(OC)C(=O)O)c1,8.678,1
CHEMBL3085571,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,6.854,1
CHEMBL2419042,CC(C)C[C@@H](NC(=O)[C@@H]1CNC[C@H](N2CC(=O)N(c3ccccc3Cl)CC2(C)C)C1)c1ccno1.O=C(O)/C=C/C(=O)O,8.959,1
CHEMBL2204735,CC(C)CCNC(=O)[C@@H]1CNC[C@H](C(=O)N2CC(=O)N(c3ccccc3Cl)CC2(C)C)C1,6.0,1
CHEMBL2028988,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,9.155,1
CHEMBL1824499,COCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c1,6.959,1
CHEMBL3889771,CCCCCCc1nc(C(C)(C)C)ncc1C(=O)N(CC(C)C)[C@@H]1CNC[C@H](C(=O)N2CCOCC2)C1,7.538,1
CHEMBL3916704,COCCCNc1nc(C(C)(C)C)ncc1C(=O)N(CC(C)C)[C@@H]1CNC[C@H](C(N)=O)C1,8.854,1
CHEMBL1910298,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1c[nH]c2cccc(Cl)c12)C1CC1,9.959,1
CHEMBL3354688,CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,5.523,0
CHEMBL53139,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C,9.398,1
CHEMBL3321929,COc1ccc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1F,4.886,0
CHEMBL536304,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCCC(N)=O)C(C)C)C(C)C)ccc1OC.Cl,9.046,1
CHEMBL240598,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCC(=O)NC)C(=O)C(C)(c1cc(F)cc(F)c1)O2,8.222,1
CHEMBL240391,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(=O)CO)C(=O)C(C)(c1cc(F)cc(F)c1)O2,8.523,1
CHEMBL400225,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(c1ccc(F)c(F)c1)O2,6.686,1
CHEMBL1910311,Cc1noc(Cn2cc(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c3c(F)cccc32)n1,10.523,1
CHEMBL535635,COCCCCc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,9.0,1
CHEMBL553943,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(=O)O)C(C)C)C(C)C)ccc1OC.Cl,8.523,1
CHEMBL556765,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCCN2CCOCC2)C(C)C)C(C)C)ccc1OC.Cl,8.523,1
CHEMBL330474,CSC[C@H](NC(=O)[C@@H](CC(=O)N1CCC(N)CC1)Cc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1,9.602,1
CHEMBL2016935,O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1cc(-c2ccc(F)cc2Br)no1,6.396,1
CHEMBL3318946,CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)[C@@H]1O.Cl,9.222,1
CHEMBL3318930,Cc1ccc(S(=O)(=O)N[C@@H]2CNC[C@H](C(=O)NC(c3ccccc3)c3ccccc3)C2)cc1,4.818,0
CHEMBL3318934,COCCCn1cc(CN(C(=O)[C@H]2CNC[C@@H](C(=O)NCC(C)C)C2)C2CC2)c2ccccc21,6.939,1
CHEMBL3318937,COCCCn1cc(CN(C(=O)[C@H]2CNC[C@@H](C(=O)N[C@H](CCO)c3ccccc3)C2)C2CC2)c2ccccc21,9.0,1
CHEMBL2387451,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)NCC(C)(C)O.O=C(O)/C=C/C(=O)O,8.62,1
CHEMBL2048702,CCCCNC(=O)[C@@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(C)C.O=C(O)/C=C/C(=O)O,9.0,1
CHEMBL2387547,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(=O)Nc1ccccn1.O=C(O)/C=C/C(=O)O,8.745,1
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,9.398,1
CHEMBL2016938,O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1onc(-c2ccccc2Cl)c1Br,7.569,1
CHEMBL1276274,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3ccnc(OC)c3C)C3CC3)[C@H]3CNC[C@@H](C2)N3)cc1,8.854,1
CHEMBL1270469,Cc1c(F)cccc1Oc1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccccc1,7.959,1
CHEMBL1824650,COc1cc2c(cn1)c(C(=O)N1CCNCC1)c(Oc1c(C)cccc1C)n2C1CCCCC1,7.004,1
CHEMBL1957794,COCC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,7.132,1
CHEMBL1824901,COC[C@H]1CN(C(=O)c2c(Cc3cccc(F)c3C)n(C3CCCCC3)c3cc(OC)ncc23)CCN1,5.388,0
CHEMBL1824643,O=C(c1c(Cc2c(F)cccc2Cl)n(-c2ccccc2)c2ccncc12)N1CCNCC1,7.0,1
CHEMBL1783184,CCCCNC(=O)C(CC(=O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C,9.155,1
CHEMBL1910299,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1c[nH]c2cccc(Br)c12)C1CC1,8.678,1
CHEMBL1824499,COCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c1,8.921,1
CHEMBL1910301,COCCCc1ccc(F)c2c(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c[nH]c12,8.208,1
CHEMBL1910545,Cc1ccc(Cn2cc(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c3c(F)cccc32)cn1,8.602,1
CHEMBL566200,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,4.03,0
CHEMBL3144415,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,8.292,1
CHEMBL94677,N[C@H]1CC[C@@H](S(=O)(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,9.509,1
CHEMBL394016,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C(F)(F)F)O2,7.77,1
CHEMBL556783,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC[C@H]2CCC(=O)N2)C(C)C)C(C)C)ccc1OC.Cl,9.0,1
CHEMBL558576,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(N)=O)C(C)C)C(C)C)ccc1OC.Cl,8.523,1
CHEMBL553943,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(=O)O)C(C)C)C(C)C)ccc1OC.Cl,7.886,1
CHEMBL46606,CC[C@H]1[C@@H](C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)[C@@H]1C(=O)N1CCOCC1,6.215,1
CHEMBL1076450,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C2(CC2)CNC1)N(Cc1cccc(Cl)c1Cl)C1CC1,5.398,0
CHEMBL497200,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(C#N)c2)C1,7.432,1
CHEMBL1092756,NCC(Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1,9.102,1
CHEMBL1256492,CC(=O)NCCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,10.398,1
CHEMBL1090982,O=C(C(CNCc1ccccc1)Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)N(Cc1cccc(Cl)c1Cl)C1CC1,6.585,1
CHEMBL511054,COc1ccccc1OCCCc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,5.721,0
CHEMBL1824932,O=C(c1c(Oc2cc(F)ccc2Cl)n(-c2ccccc2)c2cccnc12)N1CCNCC1,7.26,1
CHEMBL1824942,Cc1cc(F)cc(C)c1Cc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1,6.609,1
CHEMBL1093935,COCCCc1cc(CN(C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c(Cl)cn1,8.658,1
CHEMBL2048567,COc1ccccc1N1CC(C)(C)N(C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)CC1=O.O=C(O)/C=C/C(=O)O,8.721,1
CHEMBL2048573,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2cccc(F)c2)CC1(C)C)C(=O)NCC(C)(C)C(N)=O.O=C(O)/C=C/C(=O)O,8.523,1
CHEMBL290732,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC1CS(=O)(=O)c2ccccc21)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)NCCN1CCOCC1,6.77,1
CHEMBL1276275,COc1ccccc1COCCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,10.409,1
CHEMBL449779,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(F)ccc(Cl)c4F)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,8.824,1
CHEMBL455047,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)NCc3ccccc3Cl)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,5.444,0
CHEMBL1824898,Cc1ccc(F)c(C)c1Oc1c(C(=O)N2CCN[C@@H](C)C2)c2cnc(O)cc2n1C1CCCCC1,7.432,1
CHEMBL353306,COC(=O)C(O)[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)N1Cc2ncccc2C1=O,6.684,1
CHEMBL1824896,Cc1ccc(F)c(C)c1Oc1c(C(=O)N2CCNCC2)c2cnc(O)cc2n1C1CCCCC1,7.009,1
